,Health Measure,City,DF Model,CC Model,Hybrid Model
158,LPA,San Diego,7.599712762821625,4.6741682088851455,4.743924135139837
159,LPA,San Francisco,8.470655505928567,5.51144550528198,3.0203014880215573
160,MHLTH,Austin,2.334277180104731,2.781573790955269,2.1190296862985543
161,MHLTH,Baltimore,2.9185137668551477,2.3324335870419306,1.948768894849122
162,MHLTH,Boston,2.372915955447153,2.651865486964179,2.0063511138941115
163,MHLTH,Chicago,2.400742868132601,1.9008014189641727,1.6303742756401178
164,MHLTH,Los Angeles,2.316125967453165,2.172044012794272,1.8296137430187591
165,MHLTH,Memphis,4.259691922014221,2.8446059314699905,2.382650612830166
166,MHLTH,New York,2.3711304306377423,1.939625849774309,1.663606920664566
167,MHLTH,Philadelphia,3.7752670899753396,2.6115865986282056,2.110080754558424
168,MHLTH,San Diego,2.5676740614024083,2.1189662201171697,1.779949979210204
169,MHLTH,San Francisco,2.5679078653927285,1.6615998616604442,1.217475335900139
170,OBESITY,Austin,4.958408425246251,3.369551720417588,3.2205879615642936
171,OBESITY,Baltimore,6.36868812168976,5.377409293630602,3.2724636079187834
172,OBESITY,Boston,5.58096027836999,5.012295529942918,3.2095529362268644
173,OBESITY,Chicago,5.651559402379733,4.0192894160810475,3.174969009833861
174,OBESITY,Los Angeles,4.796050756196524,3.9478056299617297,3.5345912087305766
175,OBESITY,Memphis,8.991445386840033,4.744585698761201,3.210957641182192
176,OBESITY,New York,5.532330884948978,4.117785952127045,3.381221626896549
177,OBESITY,Philadelphia,4.775579437749562,4.486432596963064,3.2297963401192944
178,OBESITY,San Diego,5.477436705712041,3.4348312370914234,3.429237110512222
179,OBESITY,San Francisco,8.574380417918848,2.789142853798987,2.744487889649805
180,PHLTH,Austin,2.480066838950079,1.898878169777993,1.7873312284652305
181,PHLTH,Baltimore,3.1422401673707663,2.863853871597954,2.4108554169812337
182,PHLTH,Boston,2.558890955786907,3.004318606639361,1.8942127738572927
183,PHLTH,Chicago,2.7095262051061213,2.4900864588223666,2.1183002475143673
184,PHLTH,Los Angeles,2.9792171457854564,2.4394405632963525,2.299860807735245
185,PHLTH,Memphis,4.949168960895481,3.099477698650329,2.8010781481132563
186,PHLTH,New York,2.8138944142777307,2.20355939152453,1.9461995699752976
187,PHLTH,Philadelphia,3.5578192626728864,2.971423222211574,2.676163134859116
188,PHLTH,San Diego,3.1697800170600305,2.1339645049300935,2.1500892077178344
189,PHLTH,San Francisco,3.2213052789314514,2.1667094581346986,1.4927822656144232
190,SLEEP,Austin,3.286679040922603,2.422547072511485,1.837975812936598
191,SLEEP,Baltimore,3.025609746959963,4.157324043280101,1.9408874728390444
192,SLEEP,Boston,2.3206588400633716,3.983350899597196,1.7467621617141258
193,SLEEP,Chicago,2.5209465132205113,2.859671427372158,1.74763610554898
194,SLEEP,Los Angeles,2.4505504947290624,2.343872117063553,1.7000244816882146
195,SLEEP,Memphis,4.5013034586697165,3.970533407387715,2.044686247267824
196,SLEEP,New York,2.8818965895970385,3.1953013395187977,2.005923337019454
197,SLEEP,Philadelphia,4.175057931772732,3.5757806907362126,1.9273590646631211
198,SLEEP,San Diego,3.861621238590698,2.435380326962141,1.9895016986345146
199,SLEEP,San Francisco,4.9477910588346585,2.5407339309443615,1.581742849934032
200,STROKE,Austin,0.5844177007176435,0.6183732934515677,0.4663583579513881
201,STROKE,Baltimore,1.2080414249522344,1.3031327157618682,0.8993235022116962
202,STROKE,Boston,0.6413592293147131,1.0122381929220754,0.5310277364271253
203,STROKE,Chicago,0.8820769740396035,0.9814653438059026,0.718518377734708
204,STROKE,Los Angeles,0.6961059988251789,0.7075187492932796,0.5981496758779913
205,STROKE,Memphis,1.6485914587972335,1.337577640289154,1.025891555245456
206,STROKE,New York,0.8781041527047636,0.7970075100599606,0.6065931603480537
207,STROKE,Philadelphia,1.175758297842572,1.2643279920065746,0.8788057026313892
208,STROKE,San Diego,0.7145700389481747,0.663115982178011,0.5453595747574081
209,STROKE,San Francisco,0.8840420192570212,0.8948428124533534,0.5404468531713186
