,TractFIPS,AirQuality,Animals,Building,CodeEnforcement,Construction,Fire,Flooding,Garbage,Graffiti,HazardousMaterials,Homelessness,Household,IllegalDumping,Noise,Parks,Recycling,Rodents,Sewage,SnowRemoval,StormwaterDrainage,StreetConditions,Streetlights,TrafficSignals,Transportation,Trees,UnsanitaryConditions,Water,City,Year,TotalPopulation
13138,36047051900.0,7,4,104,0,2,6,0,85,13,4,52,38,7,695,1,0,84,41,6,6,62,12,10,83,68,119,37,New York,2021,5066.0
13139,36047051900.0,13,7,159,0,3,0,0,152,60,3,16,48,32,769,1,0,29,18,2,0,120,27,24,18,48,71,61,New York,2022,5066.0
13140,36047052000.0,5,8,181,0,0,2,0,24,24,5,32,234,0,115,0,0,56,9,1,0,78,3,0,5,39,93,87,New York,2019,3874.0
13141,36047052000.0,3,1,88,0,4,62,0,35,8,2,55,111,0,252,0,0,37,12,0,0,44,1,0,4,57,76,23,New York,2020,3874.0
13142,36047052000.0,1,10,199,0,0,10,1,43,4,0,71,164,2,224,7,0,58,14,11,0,50,7,3,4,32,115,37,New York,2021,3874.0
13143,36047052000.0,2,5,277,0,2,1,0,9,2,2,73,384,8,129,3,0,27,5,10,0,33,9,2,8,31,67,52,New York,2022,3874.0
13144,36047052300.0,3,4,284,0,10,0,1,46,48,2,14,289,0,986,0,1,27,5,1,0,50,0,2,21,19,87,94,New York,2019,4854.0
13145,36047052300.0,11,1,186,0,7,58,0,66,5,0,38,224,0,1546,1,10,35,6,0,0,46,0,4,15,24,100,96,New York,2020,4854.0
13146,36047052300.0,9,0,298,0,2,26,0,76,5,3,21,413,0,2322,1,0,55,7,2,0,41,3,4,19,28,157,147,New York,2021,4854.0
13147,36047052300.0,12,4,197,0,0,2,0,83,37,4,27,303,10,1102,0,1,37,2,0,0,32,10,10,28,34,98,143,New York,2022,4854.0
13148,36047052500.0,6,5,201,0,8,0,0,36,46,5,18,43,0,150,0,0,8,9,1,0,56,26,6,9,7,125,57,New York,2019,3270.0
13149,36047052500.0,0,3,90,0,12,37,1,34,6,1,20,24,0,336,1,0,4,2,2,0,30,8,2,10,7,34,21,New York,2020,3270.0
13150,36047052500.0,1,8,93,0,4,4,0,49,2,0,14,30,1,299,1,0,2,28,5,1,41,8,9,12,9,72,21,New York,2021,3270.0
